,Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Time of day,Status-Pickup,Request timestamp Hr,Supply,Demand
72,4648,City,8.0,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,Morning,Trip Completed-City,11,1,1
73,449,Airport,9.0,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,Morning,Trip Completed-Airport,9,1,1
74,846,Airport,9.0,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,Evening,Trip Completed-Airport,17,1,1
75,1346,Airport,9.0,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,Night,Trip Completed-Airport,23,1,1
76,1474,Airport,9.0,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,Early Morning,Trip Completed-Airport,5,1,1
77,2240,City,9.0,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,Evening,Trip Completed-City,18,1,1
78,3072,Airport,9.0,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,Morning,Trip Completed-Airport,8,1,1
79,3459,Airport,9.0,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,Evening,Trip Completed-Airport,17,1,1
80,3774,Airport,9.0,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,Night,Trip Completed-Airport,20,1,1
81,4023,City,9.0,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,Night,Trip Completed-City,23,1,1
82,4117,City,9.0,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,Early Morning,Trip Completed-City,4,1,1
83,4880,Airport,9.0,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,Evening,Trip Completed-Airport,17,1,1
84,5568,Airport,9.0,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,Early Morning,Trip Completed-Airport,5,1,1
85,5994,Airport,9.0,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,Morning,Trip Completed-Airport,11,1,1
86,1809,Airport,10.0,Trip Completed,2016-07-12 09:13:00,2016-07-12 10:01:00,Morning,Trip Completed-Airport,9,1,1
87,2064,Airport,10.0,Trip Completed,2016-07-12 15:08:00,2016-07-12 16:14:00,Noon,Trip Completed-Airport,15,1,1
88,3210,City,10.0,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,Morning,Trip Completed-City,9,1,1
89,4350,City,10.0,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,Morning,Trip Completed-City,7,1,1
90,4713,City,10.0,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,Noon,Trip Completed-City,13,1,1
91,5629,Airport,10.0,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,Early Morning,Trip Completed-Airport,6,1,1
92,6157,Airport,10.0,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,Evening,Trip Completed-Airport,16,1,1
93,2030,City,11.0,Trip Completed,2016-07-12 14:11:00,2016-07-12 15:02:00,Noon,Trip Completed-City,14,1,1
94,3226,City,11.0,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,Morning,Trip Completed-City,10,1,1
95,3353,City,11.0,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,Noon,Trip Completed-City,13,1,1
96,4293,City,11.0,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,Early Morning,Trip Completed-City,6,1,1
97,4936,City,11.0,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,Evening,Trip Completed-City,18,1,1
98,5661,Airport,11.0,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,Morning,Trip Completed-Airport,7,1,1
99,5778,City,11.0,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,Morning,Trip Completed-City,8,1,1
100,6425,Airport,11.0,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,Evening,Trip Completed-Airport,19,1,1
101,45,Airport,12.0,Trip Completed,2016-07-11 03:17:00,2016-07-11 04:09:00,Midnight,Trip Completed-Airport,3,1,1
102,264,City,12.0,Trip Completed,2016-07-11 06:51:00,2016-07-11 07:40:00,Early Morning,Trip Completed-City,6,1,1
103,1183,City,12.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 21:38:00,Night,Trip Completed-City,21,1,1
104,1536,Airport,12.0,Trip Completed,2016-07-12 05:59:00,2016-07-12 06:59:00,Early Morning,Trip Completed-Airport,5,1,1
105,2437,City,12.0,Trip Completed,2016-07-12 20:18:00,2016-07-12 21:26:00,Night,Trip Completed-City,20,1,1
106,2641,Airport,12.0,Trip Completed,2016-07-12 22:28:00,2016-07-12 23:05:00,Night,Trip Completed-Airport,22,1,1
107,4077,Airport,12.0,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,Midnight,Trip Completed-Airport,2,1,1
108,4610,City,12.0,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,Morning,Trip Completed-City,10,1,1
109,5066,Airport,12.0,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,Evening,Trip Completed-Airport,19,1,1
110,5666,Airport,12.0,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,Morning,Trip Completed-Airport,7,1,1
111,5923,City,12.0,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,Morning,Trip Completed-City,10,1,1
112,6367,City,12.0,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,Evening,Trip Completed-City,19,1,1
113,155,City,13.0,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:28:00,Early Morning,Trip Completed-City,5,1,1
114,310,Airport,13.0,Trip Completed,2016-07-11 07:24:00,2016-07-11 08:28:00,Morning,Trip Completed-Airport,7,1,1
115,607,City,13.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 12:42:00,Morning,Trip Completed-City,11,1,1
116,1012,City,13.0,Trip Completed,2016-07-11 19:15:00,2016-07-11 19:57:00,Evening,Trip Completed-City,19,1,1
117,1696,Airport,13.0,Trip Completed,2016-07-12 08:01:00,2016-07-12 08:42:00,Morning,Trip Completed-Airport,8,1,1
118,3076,City,13.0,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,Morning,Trip Completed-City,8,1,1
119,4198,Airport,13.0,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,Early Morning,Trip Completed-Airport,5,1,1
120,4627,City,13.0,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,Morning,Trip Completed-City,11,1,1
121,5289,City,13.0,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,Night,Trip Completed-City,21,1,1
122,5495,Airport,13.0,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,Early Morning,Trip Completed-Airport,5,1,1
123,6656,Airport,13.0,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,Night,Trip Completed-Airport,22,1,1
124,139,Airport,14.0,Trip Completed,2016-07-11 05:21:00,2016-07-11 06:09:00,Early Morning,Trip Completed-Airport,5,1,1
125,215,City,14.0,Trip Completed,2016-07-11 06:15:00,2016-07-11 07:07:00,Early Morning,Trip Completed-City,6,1,1
126,1816,City,14.0,Trip Completed,2016-07-12 09:24:00,2016-07-12 10:07:00,Morning,Trip Completed-City,9,1,1
127,2505,Airport,14.0,Trip Completed,2016-07-12 21:03:00,2016-07-12 22:14:00,Night,Trip Completed-Airport,21,1,1
128,3346,City,14.0,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,Noon,Trip Completed-City,13,1,1
129,5294,City,14.0,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,Night,Trip Completed-City,21,1,1
130,6226,Airport,14.0,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,Evening,Trip Completed-Airport,17,1,1
131,6733,Airport,14.0,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,Night,Trip Completed-Airport,23,1,1
132,1027,Airport,15.0,Trip Completed,2016-07-11 19:18:00,2016-07-11 20:24:00,Evening,Trip Completed-Airport,19,1,1
133,2675,Airport,15.0,Trip Completed,2016-07-12 23:43:00,2016-07-13 00:35:12,Night,Trip Completed-Airport,23,1,1
134,3200,City,15.0,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,Morning,Trip Completed-City,9,1,1
135,3865,City,15.0,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,Night,Trip Completed-City,21,1,1
136,4468,City,15.0,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,Morning,Trip Completed-City,8,1,1
137,5163,Airport,15.0,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,Night,Trip Completed-Airport,20,1,1
138,6009,City,15.0,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,Noon,Trip Completed-City,12,1,1
139,6448,Airport,15.0,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,Night,Trip Completed-Airport,20,1,1
140,591,City,16.0,Trip Completed,2016-07-11 11:25:00,2016-07-11 12:31:00,Morning,Trip Completed-City,11,1,1
141,709,City,16.0,Trip Completed,2016-07-11 14:16:00,2016-07-11 15:03:00,Noon,Trip Completed-City,14,1,1
142,1167,Airport,16.0,Trip Completed,2016-07-11 20:50:00,2016-07-11 21:52:00,Night,Trip Completed-Airport,20,1,1
143,2661,Airport,16.0,Trip Completed,2016-07-12 23:23:00,2016-07-13 00:27:21,Night,Trip Completed-Airport,23,1,1
144,2808,City,16.0,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,Early Morning,Trip Completed-City,5,1,1
145,3258,Airport,16.0,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,Morning,Trip Completed-Airport,10,1,1
146,3413,Airport,16.0,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,Noon,Trip Completed-Airport,15,1,1
147,3939,Airport,16.0,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,Night,Trip Completed-Airport,22,1,1
148,4125,City,16.0,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,Early Morning,Trip Completed-City,4,1,1
149,4457,City,16.0,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,Morning,Trip Completed-City,8,1,1
150,4728,City,16.0,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,Noon,Trip Completed-City,14,1,1
151,5347,Airport,16.0,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,Night,Trip Completed-Airport,22,1,1
152,6147,City,16.0,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,Evening,Trip Completed-City,16,1,1
153,6496,Airport,16.0,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,Night,Trip Completed-Airport,20,1,1
154,634,City,17.0,Trip Completed,2016-07-11 12:25:00,2016-07-11 13:06:00,Noon,Trip Completed-City,12,1,1
155,939,Airport,17.0,Trip Completed,2016-07-11 18:25:00,2016-07-11 19:26:00,Evening,Trip Completed-Airport,18,1,1
156,2628,Airport,17.0,Trip Completed,2016-07-12 22:10:00,2016-07-12 23:25:00,Night,Trip Completed-Airport,22,1,1
157,3021,City,17.0,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,Morning,Trip Completed-City,7,1,1
158,4743,City,17.0,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,Noon,Trip Completed-City,14,1,1
159,4981,City,17.0,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,Evening,Trip Completed-City,18,1,1
160,5367,Airport,17.0,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,Night,Trip Completed-Airport,23,1,1
161,5471,Airport,17.0,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,Early Morning,Trip Completed-Airport,4,1,1
162,5988,Airport,17.0,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,Morning,Trip Completed-Airport,11,1,1
163,6477,Airport,17.0,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,Night,Trip Completed-Airport,20,1,1
164,499,City,18.0,Trip Completed,2016-07-11 09:39:00,2016-07-11 10:16:00,Morning,Trip Completed-City,9,1,1
165,1147,Airport,18.0,Trip Completed,2016-07-11 20:42:00,2016-07-11 21:18:00,Night,Trip Completed-Airport,20,1,1
166,1410,Airport,18.0,Trip Completed,2016-07-12 03:14:00,2016-07-12 04:27:00,Midnight,Trip Completed-Airport,3,1,1
167,1804,Airport,18.0,Trip Completed,2016-07-12 09:12:00,2016-07-12 09:57:00,Morning,Trip Completed-Airport,9,1,1
168,1949,Airport,18.0,Trip Completed,2016-07-12 11:32:00,2016-07-12 12:13:00,Morning,Trip Completed-Airport,11,1,1
169,2713,City,18.0,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,Midnight,Trip Completed-City,1,1,1
170,2845,City,18.0,Trip Completed,2016-07-13 05:28:29,2016-07-13 06:10:40,Early Morning,Trip Completed-City,5,1,1
171,3943,Airport,18.0,Trip Completed,2016-07-13 22:35:38,2016-07-13 23:33:20,Night,Trip Completed-Airport,22,1,1
172,4792,City,18.0,Trip Completed,2016-07-14 16:47:15,2016-07-14 17:34:39,Evening,Trip Completed-City,16,1,1
173,5207,Airport,18.0,Trip Completed,2016-07-14 20:57:41,2016-07-14 21:56:21,Night,Trip Completed-Airport,20,1,1
174,5890,City,18.0,Trip Completed,2016-07-15 09:43:57,2016-07-15 10:55:22,Morning,Trip Completed-City,9,1,1
175,494,City,19.0,Trip Completed,2016-07-11 09:36:00,2016-07-11 10:02:00,Morning,Trip Completed-City,9,1,1
176,1485,City,19.0,Trip Completed,2016-07-12 05:21:00,2016-07-12 06:35:00,Early Morning,Trip Completed-City,5,1,1
177,2042,City,19.0,Trip Completed,2016-07-12 14:30:00,2016-07-12 15:09:00,Noon,Trip Completed-City,14,1,1
178,2561,Airport,19.0,Trip Completed,2016-07-12 21:29:00,2016-07-12 22:44:00,Night,Trip Completed-Airport,21,1,1
179,3813,Airport,19.0,Trip Completed,2016-07-13 21:06:57,2016-07-13 21:46:24,Night,Trip Completed-Airport,21,1,1
180,4260,Airport,19.0,Trip Completed,2016-07-14 06:11:51,2016-07-14 06:59:46,Early Morning,Trip Completed-Airport,6,1,1
181,4395,City,19.0,Trip Completed,2016-07-14 08:00:15,2016-07-14 08:54:39,Morning,Trip Completed-City,8,1,1
182,5919,City,19.0,Trip Completed,2016-07-15 10:03:42,2016-07-15 10:59:27,Morning,Trip Completed-City,10,1,1
183,6002,Airport,19.0,Trip Completed,2016-07-15 12:04:15,2016-07-15 12:53:36,Noon,Trip Completed-Airport,12,1,1
184,468,City,20.0,Trip Completed,2016-07-11 09:20:00,2016-07-11 10:05:00,Morning,Trip Completed-City,9,1,1
185,693,Airport,20.0,Trip Completed,2016-07-11 13:51:00,2016-07-11 15:01:00,Noon,Trip Completed-Airport,13,1,1
186,1178,City,20.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 22:06:00,Night,Trip Completed-City,21,1,1
187,2103,City,20.0,Trip Completed,2016-07-12 16:08:00,2016-07-12 17:18:00,Evening,Trip Completed-City,16,1,1
188,2292,Airport,20.0,Trip Completed,2016-07-12 18:46:00,2016-07-12 19:23:00,Evening,Trip Completed-Airport,18,1,1
189,3339,City,20.0,Trip Completed,2016-07-13 12:40:58,2016-07-13 13:30:26,Noon,Trip Completed-City,12,1,1
190,3694,City,20.0,Trip Completed,2016-07-13 19:33:19,2016-07-13 20:35:08,Evening,Trip Completed-City,19,1,1
191,4469,City,20.0,Trip Completed,2016-07-14 08:45:13,2016-07-14 09:48:08,Morning,Trip Completed-City,8,1,1
192,6432,City,20.0,Trip Completed,2016-07-15 19:50:57,2016-07-15 20:30:05,Evening,Trip Completed-City,19,1,1
193,1895,City,21.0,Trip Completed,2016-07-12 10:20:00,2016-07-12 10:52:00,Morning,Trip Completed-City,10,1,1
194,1981,Airport,21.0,Trip Completed,2016-07-12 12:23:00,2016-07-12 12:56:00,Noon,Trip Completed-Airport,12,1,1
195,3744,Airport,21.0,Trip Completed,2016-07-13 20:28:11,2016-07-13 21:22:42,Night,Trip Completed-Airport,20,1,1
196,4433,Airport,21.0,Trip Completed,2016-07-14 08:26:32,2016-07-14 09:12:02,Morning,Trip Completed-Airport,8,1,1
197,6039,Airport,21.0,Trip Completed,2016-07-15 13:11:04,2016-07-15 13:38:01,Noon,Trip Completed-Airport,13,1,1
198,6543,City,21.0,Trip Completed,2016-07-15 20:54:20,2016-07-15 22:12:36,Night,Trip Completed-City,20,1,1
199,110,City,22.0,Trip Completed,2016-07-11 05:05:00,2016-07-11 06:06:00,Early Morning,Trip Completed-City,5,1,1
200,362,City,22.0,Trip Completed,2016-07-11 08:01:00,2016-07-11 09:18:00,Morning,Trip Completed-City,8,1,1
201,666,Airport,22.0,Trip Completed,2016-07-11 13:02:00,2016-07-11 13:45:00,Noon,Trip Completed-Airport,13,1,1
202,926,City,22.0,Trip Completed,2016-07-11 18:28:00,2016-07-11 19:34:00,Evening,Trip Completed-City,18,1,1
203,1180,Airport,22.0,Trip Completed,2016-07-11 21:01:00,2016-07-11 22:14:00,Night,Trip Completed-Airport,21,1,1
204,1900,City,22.0,Trip Completed,2016-07-12 10:32:00,2016-07-12 11:42:00,Morning,Trip Completed-City,10,1,1
205,2506,City,22.0,Trip Completed,2016-07-12 21:01:00,2016-07-12 21:38:00,Night,Trip Completed-City,21,1,1
206,3064,City,22.0,Trip Completed,2016-07-13 08:02:03,2016-07-13 08:58:46,Morning,Trip Completed-City,8,1,1
207,3327,Airport,22.0,Trip Completed,2016-07-13 12:24:41,2016-07-13 13:23:39,Noon,Trip Completed-Airport,12,1,1
208,3601,City,22.0,Trip Completed,2016-07-13 18:39:00,2016-07-13 19:29:07,Evening,Trip Completed-City,18,1,1
209,4768,Airport,22.0,Trip Completed,2016-07-14 15:39:24,2016-07-14 16:49:03,Noon,Trip Completed-Airport,15,1,1
210,5142,City,22.0,Trip Completed,2016-07-14 20:17:51,2016-07-14 20:48:58,Night,Trip Completed-City,20,1,1
211,5366,Airport,22.0,Trip Completed,2016-07-14 23:27:22,2016-07-15 00:19:50,Night,Trip Completed-Airport,23,1,1
212,5575,City,22.0,Trip Completed,2016-07-15 05:53:55,2016-07-15 06:50:02,Early Morning,Trip Completed-City,5,1,1
